Unnamed: 0,Species,TREE_ID,Year,logF_current,X,Y
245,Pinus contorta,52000_5_19_6_2_123,2015,2.167101831,-118.8333333,37.08333333
246,Pinus contorta,52000_5_19_6_2_124,2005,1.63264714,-118.8333333,37.08333333
247,Pinus contorta,52000_5_19_6_2_124,2015,2.879029831,-118.8333333,37.08333333
248,Pinus contorta,52000_5_19_6_2_125,2005,-0.28701586,-118.8333333,37.08333333
249,Pinus contorta,52000_5_19_6_2_125,2015,0.959366831,-118.8333333,37.08333333
250,Pinus contorta,52000_5_19_6_2_126,2005,1.26397014,-118.8333333,37.08333333
251,Pinus contorta,52000_5_19_6_2_126,2015,2.510352831,-118.8333333,37.08333333
252,Pinus contorta,52000_5_19_6_2_127,2005,-0.07089486,-118.8333333,37.08333333
253,Pinus contorta,52000_5_19_6_2_127,2005,1.137348831,-118.8333333,37.08333333
254,Pinus contorta,52000_5_19_6_2_127,2015,-0.07089486,-118.8333333,37.08333333
255,Pinus contorta,52000_5_19_6_2_127,2015,1.137348831,-118.8333333,37.08333333
256,Pinus contorta,52000_5_19_6_2_128,2005,0.61560714,-118.8333333,37.08333333
257,Pinus contorta,52000_5_19_6_2_128,2015,1.849276831,-118.8333333,37.08333333
258,Pinus contorta,52000_5_19_6_3_129,2005,-0.03275586,-118.8333333,37.08333333
259,Pinus contorta,52000_5_19_6_3_129,2015,1.264478831,-118.8333333,37.08333333
260,Pinus contorta,52000_5_19_6_3_133,2005,-0.82096186,-118.8333333,37.08333333
261,Pinus contorta,52000_5_19_6_3_133,2015,0.425420831,-118.8333333,37.08333333
262,Pinus contorta,52000_5_19_6_3_134,2005,-0.63026686,-118.8333333,37.08333333
263,Pinus contorta,52000_5_19_6_3_134,2015,0.641541831,-118.8333333,37.08333333
264,Pinus contorta,52000_5_19_6_3_135,2015,0.679680831,-118.8333333,37.08333333
265,Pinus contorta,52000_5_19_6_3_135,2005,-0.50313686,-118.8333333,37.08333333
266,Pinus contorta,52000_5_19_6_3_136,2005,0.83172814,-118.8333333,37.08333333
267,Pinus contorta,52000_5_19_6_3_136,2015,2.090823831,-118.8333333,37.08333333
