,Species,TREE_ID,Xorig,X,Yorig,Y,Year,logF_current
107,Abies concolor,50206_3_17_6_1_103,38.818547,38.818647,-120.008184,-120.008784,2021,5.342143653
108,Abies concolor,50206_3_17_6_1_103,38.818547,38.819447,-120.008184,-120.008484,2021,5.722200893
109,Abies concolor,50206_3_17_6_1_104,38.818547,38.818647,-120.008184,-120.009184,2001,5.274660905
110,Abies concolor,50206_3_17_6_1_104,38.818547,38.818747,-120.008184,-120.008784,2001,5.526720386
111,Abies concolor,50206_3_17_6_1_104,38.818547,38.819347,-120.008184,-120.008784,2011,3.174507924
112,Abies concolor,50206_3_17_6_1_104,38.818547,38.819047,-120.008184,-120.009084,2011,3.548594446
113,Abies concolor,50206_3_17_6_1_104,38.818547,38.818647,-120.008184,-120.008284,2021,5.342072304
114,Abies concolor,50206_3_17_6_1_104,38.818547,38.818647,-120.008184,-120.008784,2021,5.722129544
115,Abies concolor,50206_3_17_6_1_105,38.818547,38.818747,-120.008184,-120.009184,2001,5.274853967
116,Abies concolor,50206_3_17_6_1_105,38.818547,38.819147,-120.008184,-120.008484,2001,5.526913448
117,Abies concolor,50206_3_17_6_1_105,38.818547,38.818947,-120.008184,-120.008584,2011,3.174730365
118,Abies concolor,50206_3_17_6_1_105,38.818547,38.819347,-120.008184,-120.008284,2011,3.548816887
119,Abies concolor,50206_3_17_6_1_105,38.818547,38.818747,-120.008184,-120.008884,2021,5.342349306
120,Abies concolor,50206_3_17_6_1_105,38.818547,38.818847,-120.008184,-120.009084,2021,5.722406546
121,Abies concolor,50206_3_17_6_1_106,38.818547,38.818947,-120.008184,-120.008284,2001,5.274828785
122,Abies concolor,50206_3_17_6_1_106,38.818547,38.819347,-120.008184,-120.008984,2001,5.526888266
123,Abies concolor,50206_3_17_6_1_106,38.818547,38.818647,-120.008184,-120.008584,2011,3.174671607
124,Abies concolor,50206_3_17_6_1_106,38.818547,38.818947,-120.008184,-120.009084,2011,3.548758129
125,Abies concolor,50206_3_17_6_1_106,38.818547,38.818647,-120.008184,-120.008484,2021,5.342252775
126,Abies concolor,50206_3_17_6_1_106,38.818547,38.819247,-120.008184,-120.008384,2021,5.722310015
127,Abies concolor,50206_3_17_6_1_107,38.818547,38.819047,-120.008184,-120.008284,2001,5.274895937
128,Abies concolor,50206_3_17_6_1_107,38.818547,38.818647,-120.008184,-120.008284,2001,5.526955418
129,Abies concolor,50206_3_17_6_1_107,38.818547,38.818847,-120.008184,-120.009084,2011,3.174759744
130,Abies concolor,50206_3_17_6_1_107,38.818547,38.818947,-120.008184,-120.008384,2011,3.548846266
131,Abies concolor,50206_3_17_6_1_107,38.818547,38.819047,-120.008184,-120.008784,2021,5.342370291
132,Abies concolor,50206_3_17_6_1_107,38.818547,38.818747,-120.008184,-120.008884,2021,5.722427531
133,Abies concolor,50206_3_17_6_1_108,38.818547,38.819247,-120.008184,-120.008284,2001,5.274757436
134,Abies concolor,50206_3_17_6_1_108,38.818547,38.818847,-120.008184,-120.009184,2001,5.526816917
135,Abies concolor,50206_3_17_6_1_108,38.818547,38.818847,-120.008184,-120.008384,2011,3.174612849
136,Abies concolor,50206_3_17_6_1_108,38.818547,38.819247,-120.008184,-120.009184,2011,3.548699371
137,Abies concolor,50206_3_17_6_1_108,38.818547,38.819347,-120.008184,-120.008684,2021,5.342215002
138,Abies concolor,50206_3_17_6_1_108,38.818547,38.819047,-120.008184,-120.008984,2021,5.722272242
139,Abies concolor,50206_3_17_6_1_109,38.818547,38.819447,-120.008184,-120.008784,2001,5.274614738
140,Abies concolor,50206_3_17_6_1_109,38.818547,38.819447,-120.008184,-120.009184,2001,5.526674219
141,Abies concolor,50206_3_17_6_1_109,38.818547,38.818847,-120.008184,-120.009084,2011,3.174449166
142,Abies concolor,50206_3_17_6_1_109,38.818547,38.818647,-120.008184,-120.008384,2011,3.548535688
143,Abies concolor,50206_3_17_6_1_109,38.818547,38.819447,-120.008184,-120.008284,2021,5.342017743
144,Abies concolor,50206_3_17_6_1_109,38.818547,38.819447,-120.008184,-120.008484,2021,5.722074983
145,Abies concolor,50206_3_17_6_1_110,38.818547,38.818947,-120.008184,-120.008284,2001,5.274887543
146,Abies concolor,50206_3_17_6_1_110,38.818547,38.819547,-120.008184,-120.008684,2001,5.526947024
147,Abies concolor,50206_3_17_6_1_110,38.818547,38.819347,-120.008184,-120.009184,2011,3.17475135
148,Abies concolor,50206_3_17_6_1_110,38.818547,38.819447,-120.008184,-120.008784,2011,3.548837872
149,Abies concolor,50206_3_17_6_1_110,38.818547,38.819347,-120.008184,-120.008684,2021,5.342361897
150,Abies concolor,50206_3_17_6_1_110,38.818547,38.818947,-120.008184,-120.008384,2021,5.722419137
151,Abies concolor,50206_3_17_6_1_112,38.818547,38.819547,-120.008184,-120.008484,2001,5.274774224
152,Abies concolor,50206_3_17_6_1_112,38.818547,38.819447,-120.008184,-120.008984,2001,5.526833705
153,Abies concolor,50206_3_17_6_1_112,38.818547,38.819447,-120.008184,-120.009084,2011,3.174646425
154,Abies concolor,50206_3_17_6_1_112,38.818547,38.818947,-120.008184,-120.008284,2011,3.548732947
155,Abies concolor,50206_3_17_6_1_112,38.818547,38.819347,-120.008184,-120.009084,2021,NA
156,Abies concolor,50206_3_17_6_1_112,38.818547,38.819047,-120.008184,-120.008984,2021,NA
157,Abies concolor,50206_3_17_6_1_117,38.818547,38.818847,-120.008184,-120.008984,2001,5.274719663
158,Abies concolor,50206_3_17_6_1_117,38.818547,38.818847,-120.008184,-120.008884,2001,5.526779144
159,Abies concolor,50206_3_17_6_1_117,38.818547,38.819147,-120.008184,-120.009084,2011,3.174600258
160,Abies concolor,50206_3_17_6_1_117,38.818547,38.819547,-120.008184,-120.008484,2011,3.54868678
161,Abies concolor,50206_3_17_6_1_117,38.818547,38.819547,-120.008184,-120.008684,2021,NA
162,Abies concolor,50206_3_17_6_1_117,38.818547,38.818947,-120.008184,-120.008684,2021,NA
163,Abies concolor,50206_3_17_6_1_120,38.818547,38.818947,-120.008184,-120.008984,2001,5.274618935
164,Abies concolor,50206_3_17_6_1_120,38.818547,38.819447,-120.008184,-120.008884,2001,5.526678416
165,Abies concolor,50206_3_17_6_1_120,38.818547,38.818947,-120.008184,-120.008684,2011,3.174465954
166,Abies concolor,50206_3_17_6_1_120,38.818547,38.818847,-120.008184,-120.008484,2011,3.548552476
167,Abies concolor,50206_3_17_6_1_120,38.818547,38.818847,-120.008184,-120.008584,2021,5.342076501
168,Abies concolor,50206_3_17_6_1_120,38.818547,38.819247,-120.008184,-120.008284,2021,5.722133741
169,Abies concolor,50206_3_17_6_1_125,38.818547,38.818647,-120.008184,-120.008784,2001,5.274824588
170,Abies concolor,50206_3_17_6_1_125,38.818547,38.818847,-120.008184,-120.008284,2001,5.526884069
171,Abies concolor,50206_3_17_6_1_125,38.818547,38.818947,-120.008184,-120.008984,2011,3.17466741
172,Abies concolor,50206_3_17_6_1_125,38.818547,38.818647,-120.008184,-120.008284,2011,3.548753932
173,Abies concolor,50206_3_17_6_1_125,38.818547,38.819347,-120.008184,-120.008584,2021,5.342240184
174,Abies concolor,50206_3_17_6_1_125,38.818547,38.819247,-120.008184,-120.008584,2021,5.722297424
175,Abies concolor,50206_3_17_6_1_126,38.818547,38.819447,-120.008184,-120.008384,2001,5.274648314
176,Abies concolor,50206_3_17_6_1_126,38.818547,38.819347,-120.008184,-120.008284,2001,5.526707795
177,Abies concolor,50206_3_17_6_1_126,38.818547,38.819147,-120.008184,-120.008484,2011,3.174491136
178,Abies concolor,50206_3_17_6_1_126,38.818547,38.819347,-120.008184,-120.009184,2011,3.548577658
179,Abies concolor,50206_3_17_6_1_126,38.818547,38.818647,-120.008184,-120.008884,2021,5.342080698
180,Abies concolor,50206_3_17_6_1_126,38.818547,38.819247,-120.008184,-120.008784,2021,5.722137938
181,Abies concolor,50206_3_17_6_1_127,38.818547,38.819347,-120.008184,-120.008884,2001,5.27476583
182,Abies concolor,50206_3_17_6_1_127,38.818547,38.819047,-120.008184,-120.008784,2001,5.526825311
183,Abies concolor,50206_3_17_6_1_128,38.818547,38.819547,-120.008184,-120.008984,2001,5.274770027
184,Abies concolor,50206_3_17_6_1_128,38.818547,38.819147,-120.008184,-120.008284,2001,5.526829508
185,Abies concolor,50206_3_17_6_1_128,38.818547,38.819447,-120.008184,-120.008584,2011,3.174629637
186,Abies concolor,50206_3_17_6_1_128,38.818547,38.818747,-120.008184,-120.009084,2011,3.548716159
187,Abies concolor,50206_3_17_6_1_128,38.818547,38.819147,-120.008184,-120.008884,2021,5.342244381
188,Abies concolor,50206_3_17_6_1_128,38.818547,38.818947,-120.008184,-120.008484,2021,5.722301621
189,Abies concolor,50206_3_17_6_1_129,38.818547,38.818747,-120.008184,-120.008684,2001,5.2748078
190,Abies concolor,50206_3_17_6_1_129,38.818547,38.818947,-120.008184,-120.008784,2001,5.526867281
191,Abies concolor,50206_3_17_6_1_129,38.818547,38.819147,-120.008184,-120.008784,2011,3.174663213
192,Abies concolor,50206_3_17_6_1_129,38.818547,38.819247,-120.008184,-120.009084,2011,3.548749735
193,Abies concolor,50206_3_17_6_1_129,38.818547,38.819347,-120.008184,-120.008884,2021,5.342252775
194,Abies concolor,50206_3_17_6_1_129,38.818547,38.818647,-120.008184,-120.008284,2021,5.722310015
195,Abies concolor,50206_3_17_6_1_139,38.818547,38.819547,-120.008184,-120.008584,2011,3.174789123
196,Abies concolor,50206_3_17_6_1_139,38.818547,38.818747,-120.008184,-120.008584,2011,3.548875645
197,Abies concolor,50206_3_17_6_1_139,38.818547,38.818847,-120.008184,-120.008484,2021,5.342395473
198,Abies concolor,50206_3_17_6_1_139,38.818547,38.819547,-120.008184,-120.008984,2021,5.722452713
199,Abies concolor,50206_3_17_6_2_131,38.818547,38.819147,-120.008184,-120.008284,2001,5.274988271
200,Abies concolor,50206_3_17_6_2_131,38.818547,38.819547,-120.008184,-120.008784,2001,5.527047752
201,Abies concolor,50206_3_17_6_2_131,38.818547,38.818847,-120.008184,-120.008284,2011,3.174831093
202,Abies concolor,50206_3_17_6_2_131,38.818547,38.818747,-120.008184,-120.009084,2011,3.548917615
203,Abies concolor,50206_3_17_6_2_131,38.818547,38.818947,-120.008184,-120.008784,2021,5.342416458
204,Abies concolor,50206_3_17_6_2_131,38.818547,38.819247,-120.008184,-120.008384,2021,5.722473698
205,Abies concolor,50206_3_17_6_2_133,38.818547,38.819547,-120.008184,-120.008584,2001,5.273670413
206,Abies concolor,50206_3_17_6_2_133,38.818547,38.818847,-120.008184,-120.008784,2001,5.525729894
207,Abies concolor,50206_3_17_6_2_133,38.818547,38.818647,-120.008184,-120.008284,2011,3.173525826
208,Abies concolor,50206_3_17_6_2_133,38.818547,38.818847,-120.008184,-120.008684,2011,3.547612348
209,Abies concolor,50206_3_17_6_2_133,38.818547,38.818647,-120.008184,-120.008784,2021,5.341119585
210,Abies concolor,50206_3_17_6_2_133,38.818547,38.819047,-120.008184,-120.008484,2021,5.721176825
211,Abies concolor,50206_3_17_6_2_134,38.818547,38.819147,-120.008184,-120.009084,2001,5.273863475
212,Abies concolor,50206_3_17_6_2_134,38.818547,38.818647,-120.008184,-120.008984,2001,5.525922956
213,Abies concolor,50206_3_17_6_2_134,38.818547,38.819247,-120.008184,-120.009084,2011,3.173752464
214,Abies concolor,50206_3_17_6_2_134,38.818547,38.819247,-120.008184,-120.008684,2011,3.547838986
215,Abies concolor,50206_3_17_6_2_134,38.818547,38.818847,-120.008184,-120.009184,2021,5.341400784
216,Abies concolor,50206_3_17_6_2_134,38.818547,38.819547,-120.008184,-120.008984,2021,5.721458024
217,Abies concolor,50206_3_17_6_2_137,38.818547,38.818847,-120.008184,-120.008784,2001,5.272977908
218,Abies concolor,50206_3_17_6_2_137,38.818547,38.819147,-120.008184,-120.008284,2001,5.525037389
219,Abies concolor,50206_3_17_6_2_137,38.818547,38.818947,-120.008184,-120.008284,2011,3.172837518
220,Abies concolor,50206_3_17_6_2_137,38.818547,38.818747,-120.008184,-120.009084,2011,3.54692404
221,Abies concolor,50206_3_17_6_2_137,38.818547,38.819047,-120.008184,-120.008484,2021,5.340443868
222,Abies concolor,50206_3_17_6_2_137,38.818547,38.818747,-120.008184,-120.009084,2021,5.720501108
223,Abies concolor,50206_3_17_6_3_138,38.818547,38.819247,-120.008184,-120.008384,2001,5.27484977
224,Abies concolor,50206_3_17_6_3_138,38.818547,38.819247,-120.008184,-120.009084,2001,5.526909251
225,Abies concolor,50206_3_17_6_3_139,38.818547,38.819047,-120.008184,-120.008884,2001,5.274757436
226,Abies concolor,50206_3_17_6_3_139,38.818547,38.818747,-120.008184,-120.008584,2001,5.526816917
227,Abies concolor,50206_3_17_6_3_140,38.818547,38.818747,-120.008184,-120.008784,2001,5.274719663
228,Abies concolor,50206_3_17_6_3_140,38.818547,38.819447,-120.008184,-120.009184,2001,5.526779144
229,Abies concolor,50206_3_17_6_3_140,38.818547,38.818947,-120.008184,-120.009084,2011,3.174558288
230,Abies concolor,50206_3_17_6_3_140,38.818547,38.819247,-120.008184,-120.009184,2011,3.54864481
231,Abies concolor,50206_3_17_6_3_140,38.818547,38.818947,-120.008184,-120.008484,2021,5.342122668
232,Abies concolor,50206_3_17_6_3_140,38.818547,38.818947,-120.008184,-120.008384,2021,5.722179908
233,Abies concolor,50206_3_17_6_3_141,38.818547,38.818647,-120.008184,-120.008784,2001,5.274916922
234,Abies concolor,50206_3_17_6_3_141,38.818547,38.818747,-120.008184,-120.008484,2001,5.526976403
235,Abies concolor,50206_3_17_6_3_142,38.818547,38.819247,-120.008184,-120.008684,2001,5.27472386
236,Abies concolor,50206_3_17_6_3_142,38.818547,38.818947,-120.008184,-120.008784,2001,5.526783341
237,Abies concolor,50206_3_17_6_3_142,38.818547,38.819247,-120.008184,-120.008784,2011,3.17458347
