,Species,TREE_ID,X_old,X,Y_old,Y,Year,logF_current
109,Quercus agrifolia,53654_4_53_6_4_110,-121.50007,-121.50047,36.75007,36.75057,2005,1.197623358
110,Quercus agrifolia,53654_4_53_6_4_110,-121.50009,-121.50019,36.75007,36.75027,2015,1.90038512
111,Quercus agrifolia,53654_4_53_6_4_110,-121.50003,-121.50013,36.75006,36.75076,2015,1.197623358
112,Quercus agrifolia,53654_4_53_6_4_111,-121.50007,-121.50057,36.75,36.75,2005,2.054876725
113,Quercus agrifolia,53654_4_53_6_4_111,-121.50009,-121.50069,36.75003,36.75033,2015,1.411840583
114,Quercus agrifolia,53654_4_53_6_4_112,-121.50009,-121.50019,36.75005,36.75045,2005,2.910788088
115,Quercus agrifolia,53654_4_53_6_4_112,-121.50008,-121.50088,36.75,36.7506,2015,2.35746441
116,Quercus agrifolia,53654_4_53_6_4_113,-121.50008,-121.50098,36.75008,36.75008,2005,2.372883098
117,Quercus agrifolia,53654_4_53_6_4_113,-121.5,-121.5007,36.75008,36.75048,2015,1.81903109
118,Quercus agrifolia,53654_4_53_6_4_115,-121.50004,-121.50014,36.75,36.7506,2005,1.389282984
119,Quercus agrifolia,53654_4_53_6_4_115,-121.50008,-121.50048,36.75002,36.75052,2015,0.797781386
120,Quercus agrifolia,53654_4_53_6_4_116,-121.50006,-121.50006,36.75,36.7503,2005,2.783131074
121,Quercus agrifolia,53654_4_53_6_4_116,-121.50006,-121.50056,36.75001,36.75081,2015,2.187773457
122,Quercus agrifolia,54075_4_81_6_1_300,-122.37502,-122.37582,37.54176,37.54206,2008,1.331681705
123,Quercus agrifolia,54075_4_81_6_1_300,-122.37506,-122.37596,37.54174,37.54224,2018,0.877279844
124,Quercus agrifolia,54075_4_81_6_1_302,-122.37506,-122.37556,37.54171,37.54221,2018,0.608110718
125,Quercus agrifolia,54075_4_81_6_1_302,-122.37507,-122.37547,37.5417,37.5419,2018,0.137014497
126,Quercus agrifolia,54075_4_81_6_1_302,-122.37503,-122.37553,37.54168,37.54198,2008,0.608110718
