Unnamed: 0,Species,TREE_ID,Year,logF_current,X,Y
197,Abies concolor,50206_3_17_6_1_139,2021,5.342395473,-120.008184,38.818547
198,Abies concolor,50206_3_17_6_1_139,2021,5.722452713,-120.008184,38.818547
199,Abies concolor,50206_3_17_6_2_131,2001,5.274988271,-120.008184,38.818547
200,Abies concolor,50206_3_17_6_2_131,2001,5.527047752,-120.008184,38.818547
201,Abies concolor,50206_3_17_6_2_131,2011,3.174831093,-120.008184,38.818547
202,Abies concolor,50206_3_17_6_2_131,2011,3.548917615,-120.008184,38.818547
203,Abies concolor,50206_3_17_6_2_131,2021,5.342416458,-120.008184,38.818547
204,Abies concolor,50206_3_17_6_2_131,2021,5.722473698,-120.008184,38.818547
205,Abies concolor,50206_3_17_6_2_133,2001,5.273670413,-120.008184,38.818547
206,Abies concolor,50206_3_17_6_2_133,2001,5.525729894,-120.008184,38.818547
207,Abies concolor,50206_3_17_6_2_133,2011,3.173525826,-120.008184,38.818547
208,Abies concolor,50206_3_17_6_2_133,2011,3.547612348,-120.008184,38.818547
209,Abies concolor,50206_3_17_6_2_133,2021,5.341119585,-120.008184,38.818547
210,Abies concolor,50206_3_17_6_2_133,2021,5.721176825,-120.008184,38.818547
211,Abies concolor,50206_3_17_6_2_134,2001,5.273863475,-120.008184,38.818547
212,Abies concolor,50206_3_17_6_2_134,2001,5.525922956,-120.008184,38.818547
213,Abies concolor,50206_3_17_6_2_134,2011,3.173752464,-120.008184,38.818547
214,Abies concolor,50206_3_17_6_2_134,2011,3.547838986,-120.008184,38.818547
215,Abies concolor,50206_3_17_6_2_134,2021,5.341400784,-120.008184,38.818547
216,Abies concolor,50206_3_17_6_2_134,2021,5.721458024,-120.008184,38.818547
217,Abies concolor,50206_3_17_6_2_137,2001,5.272977908,-120.008184,38.818547
218,Abies concolor,50206_3_17_6_2_137,2001,5.525037389,-120.008184,38.818547
219,Abies concolor,50206_3_17_6_2_137,2011,3.172837518,-120.008184,38.818547
220,Abies concolor,50206_3_17_6_2_137,2011,3.54692404,-120.008184,38.818547
221,Abies concolor,50206_3_17_6_2_137,2021,5.340443868,-120.008184,38.818547
222,Abies concolor,50206_3_17_6_2_137,2021,5.720501108,-120.008184,38.818547
223,Abies concolor,50206_3_17_6_3_138,2001,5.27484977,-120.008184,38.818547
224,Abies concolor,50206_3_17_6_3_138,2001,5.526909251,-120.008184,38.818547
225,Abies concolor,50206_3_17_6_3_139,2001,5.274757436,-120.008184,38.818547
226,Abies concolor,50206_3_17_6_3_139,2001,5.526816917,-120.008184,38.818547
227,Abies concolor,50206_3_17_6_3_140,2001,5.274719663,-120.008184,38.818547
228,Abies concolor,50206_3_17_6_3_140,2001,5.526779144,-120.008184,38.818547
229,Abies concolor,50206_3_17_6_3_140,2011,3.174558288,-120.008184,38.818547
230,Abies concolor,50206_3_17_6_3_140,2011,3.54864481,-120.008184,38.818547
231,Abies concolor,50206_3_17_6_3_140,2021,5.342122668,-120.008184,38.818547
232,Abies concolor,50206_3_17_6_3_140,2021,5.722179908,-120.008184,38.818547
233,Abies concolor,50206_3_17_6_3_141,2001,5.274916922,-120.008184,38.818547
234,Abies concolor,50206_3_17_6_3_141,2001,5.526976403,-120.008184,38.818547
235,Abies concolor,50206_3_17_6_3_142,2001,5.27472386,-120.008184,38.818547
236,Abies concolor,50206_3_17_6_3_142,2001,5.526783341,-120.008184,38.818547
237,Abies concolor,50206_3_17_6_3_142,2011,3.17458347,-120.008184,38.818547
238,Abies concolor,50206_3_17_6_3_142,2011,3.548669992,-120.008184,38.818547
239,Abies concolor,50206_3_17_6_3_142,2021,,-120.008184,38.818547
240,Abies concolor,50206_3_17_6_3_142,2021,,-120.008184,38.818547
241,Abies concolor,50206_3_17_6_3_143,2001,5.274728057,-120.008184,38.818547
242,Abies concolor,50206_3_17_6_3_143,2001,5.526787538,-120.008184,38.818547
243,Abies concolor,50206_3_17_6_3_143,2011,3.174566682,-120.008184,38.818547
244,Abies concolor,50206_3_17_6_3_143,2011,3.548653204,-120.008184,38.818547
245,Abies concolor,50206_3_17_6_3_143,2021,5.342126865,-120.008184,38.818547
246,Abies concolor,50206_3_17_6_3_143,2021,5.722184105,-120.008184,38.818547
247,Abies concolor,50206_3_17_6_3_144,2001,5.274560177,-120.008184,38.818547
248,Abies concolor,50206_3_17_6_3_144,2001,5.526619658,-120.008184,38.818547
249,Abies concolor,50206_3_17_6_3_144,2011,3.174398802,-120.008184,38.818547
250,Abies concolor,50206_3_17_6_3_144,2011,3.548485324,-120.008184,38.818547
251,Abies concolor,50206_3_17_6_3_144,2021,5.341958985,-120.008184,38.818547
252,Abies concolor,50206_3_17_6_3_144,2021,5.722016225,-120.008184,38.818547
253,Abies concolor,50206_3_17_6_3_145,2001,5.274770027,-120.008184,38.818547
254,Abies concolor,50206_3_17_6_3_145,2001,5.526829508,-120.008184,38.818547
255,Abies concolor,50206_3_17_6_3_145,2011,3.174621243,-120.008184,38.818547
256,Abies concolor,50206_3_17_6_3_145,2011,3.548707765,-120.008184,38.818547
257,Abies concolor,50206_3_17_6_3_145,2021,5.342177229,-120.008184,38.818547
258,Abies concolor,50206_3_17_6_3_145,2021,5.722234469,-120.008184,38.818547
259,Abies concolor,50206_3_17_6_3_146,2001,5.274702875,-120.008184,38.818547
260,Abies concolor,50206_3_17_6_3_146,2001,5.526762356,-120.008184,38.818547
261,Abies concolor,50206_3_17_6_3_146,2011,3.174533106,-120.008184,38.818547
262,Abies concolor,50206_3_17_6_3_146,2011,3.548619628,-120.008184,38.818547
263,Abies concolor,50206_3_17_6_3_146,2021,5.342135259,-120.008184,38.818547
